Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PRTN3	"ACPA, AGP7, C-ANCA, MBT, P29, PR-3"	ENSG00000196415	"Proteinase 3"	P24158	19	840999-848175	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	55	"bone marrow: 2068.5"	"Cell type enriched"	"Detected in some"	5	"Erythroid cells: 18.7"	"Cell type enhanced"	"Detected in some"		"upper-layer intratelencephalic: 2.7"	"Cancer enhanced"	"Detected in single"		"Stomach Adenocarcinoma (TCGA): 2.0"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	8	"neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 2.0"	"Cancer enriched"	"Detected in some"	225	"Leukemia: 507.6"	"Lung - Neutrophil_1, Spleen - Hematopoietic stem cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA005938, CAB017558"	Enhanced		Approved	Vesicles,Cytosol	"Secreted to blood"	Enzyme	NA	NA		660000		"Cluster 6: Bone marrow - Innate immune response"	"Cluster 33: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	41	Cytosol	Vesicles	"CAB017558: AB_2172317, HPA005938: AB_1855764"			"unprognostic (2.98e-1)"																									"unprognostic (8.17e-2)"			
AZU1	"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC"	ENSG00000172232	"Azurocidin 1"	P20160	19	825097-832018	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	Chemotaxis	"Antibiotic, Antimicrobial, Heparin-binding, Serine protease homolog"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	49	"bone marrow: 1577.5"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 4.5;Breast myoepithelial cells: 5.3;Ciliated cells: 8.9;Erythroid cells: 6.4;Hofbauer cells: 4.8;Kupffer cells: 3.9;Spermatogonia: 7.2"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.6"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	9	"neutrophil: 3.3"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 3.3"	"Cancer enriched"	"Detected in single"	40	"Leukemia: 39.1"	"Liver - Erythroid cells, Lung - Neutrophil_1, Spleen - Hematopoietic stem cells"					"Not detected"	"Not detected"			"HPA055851, HPA075964"	Enhanced		Enhanced	Vesicles	"Secreted to blood"	Defense	NA	NA	13700000	6600000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	7	Vesicles		"HPA055851: AB_2682943, HPA075964: "			"unprognostic (3.70e-2)"																									"unprognostic (4.95e-2)"			"unprognostic (1.00e-1)"
TEX54		ENSG00000283268	"Testis expressed 54"	A0A1B0GVG6	11	62832321-62832841	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	41	"testis: 74.7"	"Group enriched"	"Detected in some"	373	"Early spermatids: 491.1;Late spermatids: 214.7"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	6	"neutrophil: 139.5"	"Lineage enriched"	"Detected in all"	17	"granulocytes: 139.5"	"Low cancer specificity"	"Detected in some"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 25: Non-specific - Transcription"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 21: Early spermatids - Spermatogenesis"										"unprognostic (7.77e-2)"																		"unprognostic (3.66e-2)"		"unprognostic (1.23e-1)"					
DEFA1	"DEF1, DEFA2, HNP-1, MRS"	ENSG00000206047	"Defensin alpha 1"	P59665	8	6977649-6980092	"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters"	"Antiviral defense, Host-virus interaction"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	35	"bone marrow: 62254.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 1.5;Kidney Renal Clear Cell Carcinoma (TCGA): 1.7"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in many"	21	"neutrophil: 2665.7"	"Lineage enriched"	"Detected in many"	21	"granulocytes: 2665.7"	"Cancer enriched"	"Detected in single"	60	"Leukemia: 47.0"	"Lung - Neutrophil_1, Spleen - Hematopoietic stem cells"									"CAB032548, HPA052517"	Enhanced				"Secreted to blood"	Defense	NA	NA	113000000		"Cluster 21: Neutrophils - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 7: T-cells - T-cell receptor"	4			"CAB032548: AB_2277258, HPA052517: AB_2681860"							"unprognostic (5.00e-3)"				"unprognostic (1.65e-1)"												"unprognostic (1.38e-2)"								
LRG1	LRG	ENSG00000171236	"Leucine rich alpha-2-glycoprotein 1"	P02750	19	4536402-4540036	"Plasma proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	21	"liver: 920.6"	"Cell type enriched"	"Detected in many"	5	"Hepatocytes: 621.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	6	"Liver Hepatocellular Carcinoma (TCGA): 226.2"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	19	"neutrophil: 285.0"	"Lineage enriched"	"Detected in many"	45	"granulocytes: 285.0"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Neutrophils, Adrenal gland - Neutrophils, Heart muscle - Neutrophils, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Neutrophils"	"Low region specificity"	"Detected in single"							"HPA001888, HPA001889"	Enhanced		Approved	Vesicles	"Secreted to blood"	"No annotated function"	NA	NA	21000000000	26000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 83: Liver - Metabolism"	"Cluster 48: Non-specific - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 62: Hepatocytes - Metabolism"	7	Vesicles		"HPA001888: AB_1079276, HPA001889: AB_1079275"	"unprognostic (8.36e-2)"	"unprognostic (3.04e-2)"	"unprognostic (2.71e-1)"	"unprognostic (2.48e-1)"	"unprognostic (4.79e-2)"	"unprognostic (8.46e-2)"		"unprognostic (2.99e-1)"	"unprognostic (1.48e-1)"	"unprognostic (2.63e-1)"	"unprognostic (6.28e-3)"	"unprognostic (7.05e-2)"	"unprognostic (2.69e-3)"	"unprognostic (4.77e-2)"	"potential prognostic favorable (2.39e-4)"	"unprognostic (5.74e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.42e-1)"	"unprognostic (3.26e-2)"	"unprognostic (9.12e-2)"	"unprognostic (3.77e-2)"	"potential prognostic unfavorable (5.61e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.87e-1)"	"unprognostic (3.09e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.68e-1)"	"unprognostic (8.62e-2)"	"unprognostic (1.10e-1)"	"unprognostic (2.35e-3)"	"unprognostic (1.62e-2)"
ASPRV1	"FLJ25084, SASPase, Taps"	ENSG00000244617	"Aspartic peptidase retroviral like 1"	Q53RT3	2	69960089-69961631	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Aspartyl protease, Hydrolase, Protease"	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	17	"skin 1: 410.4"	"Cell type enhanced"	"Detected in some"		"Oligodendrocytes: 3.8;Spermatogonia: 3.3;Suprabasal keratinocytes: 7.4"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"Head and Neck Squamous Cell Carcinoma (TCGA): 31.1;Skin Cuteneous Melanoma (TCGA): 53.7"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 10.8"	"Lineage enriched"	"Detected in many"	10	"granulocytes: 10.8"	"Cancer enhanced"	"Detected in some"		"head and neck cancer: 5.5"	"Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in some"			"HPA034809, HPA034810"	Enhanced		Approved	Cytosol			NA	NA		150000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 82: Skin - Keratinization"	"Cluster 11: White matter - Signal transduction"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	4	Cytosol		"HPA034809: AB_2674343, HPA034810: AB_10601456"	"unprognostic (1.29e-2)"	"unprognostic (9.56e-3)"	"unprognostic (1.28e-2)"	"unprognostic (8.04e-2)"			"unprognostic (4.71e-1)"	"unprognostic (1.51e-2)"	"unprognostic (2.04e-2)"		"potential prognostic favorable (2.31e-4)"	"unprognostic (1.28e-1)"	"unprognostic (6.59e-3)"					"unprognostic (1.20e-1)"	"unprognostic (1.60e-1)"			"unprognostic (2.11e-2)"					"unprognostic (8.10e-2)"		"unprognostic (1.63e-1)"		"unprognostic (7.54e-2)"
BTNL8	"BTN9.2, FLJ21458"	ENSG00000113303	"Butyrophilin like 8"	Q6UX41	5	180899077-180950906	"Predicted membrane proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"intestine: 115.6"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 73.9;Intestinal goblet cells: 36.0;Paneth cells: 38.9;Proximal enterocytes: 189.8"	"Cell type enriched"	"Detected in some"	7	"endothelial cell: 21.0"	"Group enriched"	"Detected in some"	12	"Colon Adenocarcinoma (TCGA): 8.6;Liver Hepatocellular Carcinoma (TCGA): 4.8;Pancreatic Adenocarcinoma (TCGA): 9.4;Rectum Adenocarcinoma (TCGA): 6.7;Stomach Adenocarcinoma (TCGA): 11.7"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in some"	12	"neutrophil: 234.3"	"Lineage enriched"	"Detected in many"	221	"granulocytes: 234.3"	"Group enriched"	"Detected in some"	5	"colorectal cancer: 3.8;Esophageal cancer: 1.8;Gastric cancer: 3.5;pancreatic cancer: 2.0"	"Colon - Colon enterocytes, Stomach - Gastric mucous cells"									HPA039738	Enhanced						NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 25: Small intestine - Absorption"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	1			"HPA039738: AB_2676656"					"unprognostic (3.12e-2)"	"unprognostic (4.56e-2)"								"unprognostic (1.13e-2)"	"unprognostic (3.51e-2)"							"unprognostic (1.71e-1)"	"unprognostic (6.04e-3)"		"unprognostic (6.27e-2)"	"unprognostic (1.27e-1)"		"unprognostic (1.52e-1)"			
MAK	"dJ417M14.2, RP62"	ENSG00000111837	"Male germ cell associated kinase"	P20794	6	10762723-10838553	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"retina: 115.3"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 249.8;Early spermatids: 90.6;Late spermatids: 68.6;Rod photoreceptor cells: 314.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	9	"neutrophil: 6.3"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 6.3"	"Low cancer specificity"	"Detected in single"			"Lung - Respiratory ciliated cells, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA077174			Approved	"Nucleoplasm,Nucleoli,Plasma membrane,Basal body,Cytosol,Connecting piece,Principal piece,End piece"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 76: Retina - Visual perception"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"	7	"Nucleoplasm, Basal body, Cytosol, Connecting piece"	"Nucleoli, Plasma membrane, Principal piece, End piece"	"HPA077174: "			"unprognostic (1.27e-1)"			"unprognostic (2.08e-1)"		"unprognostic (9.09e-3)"																		"unprognostic (9.49e-2)"					"unprognostic (5.35e-2)"
BMX	"ETK, PSCTK3"	ENSG00000102010	"BMX non-receptor tyrosine kinase"	P51813	X	15464246-15556529	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Cell adhesion, Stress response"	"Kinase, Transferase, Tyrosine-protein kinase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	12	"epididymis: 100.2"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 15.6;Endothelial cells: 33.2;Lymphatic endothelial cells: 34.0;Smooth muscle cells: 7.7"	"Cell type enriched"	"Detected in many"	4	"endothelial cell: 41.4"	"Cancer enhanced"	"Detected in many"		"Skin Cuteneous Melanoma (TCGA): 5.2"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in single"	16	"neutrophil: 7.6"	"Lineage enriched"	"Detected in single"	77	"granulocytes: 7.6"	"Group enriched"	"Detected in some"	6	"cervical cancer: 2.6;lung cancer: 4.6;prostate cancer: 2.0;skin cancer: 1.7"	"Colon - Endothelial cells, Heart muscle - Endothelial cells, Minor Salivary Gland - Endothelial cells, Prostate - Endothelial cells, Skin - Endothelial cells, Spleen - Neutrophils, Stomach - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA001048, CAB032495"	Enhanced		Supported	"Nucleoplasm,Plasma membrane"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 24: Non-specific - Unknown function"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	14	"Plasma membrane"	Nucleoplasm	"CAB032495: AB_2290760, HPA001048: AB_1078289"	"unprognostic (1.96e-2)"		"unprognostic (5.64e-2)"			"unprognostic (3.20e-1)"					"potential prognostic favorable (4.88e-9)"	"unprognostic (1.66e-3)"				"unprognostic (1.07e-2)"	"unprognostic (2.35e-1)"		"unprognostic (1.92e-1)"			"unprognostic (2.24e-1)"	"unprognostic (9.69e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.69e-1)"	"unprognostic (6.53e-2)"	"unprognostic (2.23e-1)"			"unprognostic (8.62e-2)"	"unprognostic (1.75e-1)"
MMP9	CLG4B	ENSG00000100985	"Matrix metallopeptidase 9"	P14780	20	46008908-46016561	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	12	"bone marrow: 372.5;lymphoid tissue: 102.8"	"Group enriched"	"Detected in many"	10	"Hofbauer cells: 223.7;Langerhans cells: 692.8;Macrophages: 337.1"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"thalamus: 10.9"	"Immune cell enriched"	"Detected in some"	127	"neutrophil: 272.9"	"Lineage enriched"	"Detected in single"	342	"granulocytes: 272.9"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 11.3"	"Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Pituitary gland - Neutrophils, Skeletal muscle - Neutrophils, Spleen - Neutrophils"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"CAB000348, HPA001238, HPA063909, CAB068199, CAB068200, CAB068201"	Enhanced		Approved	Cytosol	"Secreted to blood"	Enzyme	NA	NA	43300000	61000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 58: Macrophages - Innate immune response"	9	Cytosol		"CAB000348: , CAB068199: AB_2665675, CAB068200: AB_2665676, CAB068201: AB_2665677, HPA001238: AB_1079398, HPA063909: AB_2685150"	"unprognostic (2.27e-1)"	"unprognostic (3.86e-2)"	"unprognostic (9.31e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.29e-1)"	"unprognostic (3.35e-3)"	"unprognostic (8.36e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.05e-1)"	"potential prognostic unfavorable (2.61e-4)"	"unprognostic (6.94e-3)"	"unprognostic (4.84e-2)"	"potential prognostic unfavorable (4.16e-4)"	"unprognostic (1.46e-2)"	"unprognostic (5.59e-2)"	"unprognostic (3.73e-2)"	"unprognostic (2.41e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.86e-2)"	"unprognostic (3.18e-1)"	"unprognostic (3.75e-2)"	"unprognostic (7.39e-2)"	"unprognostic (2.69e-1)"	"unprognostic (1.65e-2)"	"unprognostic (1.99e-1)"	"unprognostic (2.05e-1)"	"unprognostic (3.13e-1)"	"unprognostic (1.14e-2)"	"unprognostic (3.34e-2)"	"unprognostic (6.12e-2)"
C4BPA	C4BP	ENSG00000123838	"Complement component 4 binding protein alpha"	P04003	1	207104233-207144972	"Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Complement pathway, Immunity, Innate immunity"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	11	"liver: 1860.6"	"Group enriched"	"Detected in some"	4	"Alveolar cells type 2: 321.7;Hepatocytes: 852.2"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	18	"Liver Hepatocellular Carcinoma (TCGA): 630.3;Lung Adenocarcinoma (TCGA): 177.5"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	137	"neutrophil: 29.6"	"Lineage enriched"	"Detected in single"	137	"granulocytes: 29.6"	"Cancer enhanced"	"Detected in some"		"liver cancer: 7.4;lung cancer: 3.9"	"Liver - Hepatocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"midbrain: 1.6"	"HPA000926, HPA001578"	Enhanced				"Secreted to blood"	"Complement pathway"	NA	NA	30800000000	33000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 83: Liver - Metabolism"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 62: Hepatocytes - Metabolism"	5			"HPA000926: AB_1078355, HPA001578: AB_1078354"		"unprognostic (2.11e-3)"	"unprognostic (1.78e-1)"	"unprognostic (7.92e-2)"	"unprognostic (4.28e-2)"	"unprognostic (2.98e-1)"					"potential prognostic unfavorable (3.90e-6)"		"unprognostic (7.08e-2)"	"potential prognostic favorable (3.54e-4)"	"unprognostic (1.95e-2)"	"potential prognostic favorable (2.16e-5)"	"unprognostic (2.87e-1)"	"potential prognostic unfavorable (9.90e-4)"	"unprognostic (2.68e-1)"		"unprognostic (2.27e-1)"	"unprognostic (2.62e-2)"	"unprognostic (1.91e-2)"		"unprognostic (1.17e-1)"	"unprognostic (2.86e-1)"		"unprognostic (1.41e-1)"			"unprognostic (1.10e-2)"
CDH17	"cadherin, HPT-1"	ENSG00000079112	"Cadherin 17"	Q12864	8	94127162-94217303	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"intestine: 305.2"	"Group enriched"	"Detected in some"	11	"Distal enterocytes: 491.3;Enteroendocrine cells: 168.9;Intestinal goblet cells: 186.3;Paneth cells: 284.0;Proximal enterocytes: 312.2;Undifferentiated cells: 136.0"	"Low cell type specificity"	"Detected in some"			"Group enriched"	"Detected in many"	7	"Colon Adenocarcinoma (TCGA): 241.8;Rectum Adenocarcinoma (TCGA): 243.5;Stomach Adenocarcinoma (TCGA): 83.5"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 14.8"	"Lineage enriched"	"Detected in single"	18	"granulocytes: 14.8"	"Group enriched"	"Detected in many"	5	"Bile duct cancer: 61.7;colorectal cancer: 158.4;Gastric cancer: 75.7;pancreatic cancer: 48.9"	"Colon - Colon enterocytes, Pancreas - Ductal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA023614, HPA023616, CAB025143, HPA026556"	Enhanced		Supported	"Nucleoplasm,Cell Junctions"			NA	NA		7000000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 45: Intestine - Digestion"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	1	"Cell Junctions"	Nucleoplasm	"CAB025143: , HPA023614: AB_1845896, HPA023616: AB_1845895, HPA026556: AB_1845897"	"unprognostic (1.59e-1)"			"unprognostic (3.13e-2)"	"unprognostic (3.89e-2)"	"unprognostic (1.53e-1)"					"potential prognostic unfavorable (9.37e-4)"	"unprognostic (9.73e-2)"	"unprognostic (2.67e-3)"	"unprognostic (1.02e-1)"	"unprognostic (1.31e-2)"	"unprognostic (1.68e-3)"	"unprognostic (1.25e-1)"		"unprognostic (1.62e-1)"			"unprognostic (1.19e-1)"	"unprognostic (2.35e-1)"	"unprognostic (6.41e-2)"	"unprognostic (1.25e-1)"	"unprognostic (4.46e-2)"		"unprognostic (2.59e-1)"	"unprognostic (1.01e-1)"		"unprognostic (3.89e-2)"
